Timestamp,Email Address,Name of School,School Mailing Address,Name of Advisor,Email of Advisor,"Advisor Cellphone Number:

Our main method of communication is through email. This phone number is intended for use in urgent/emergency circumstances the day of the conference.","Names and Contact Information for any additional advisors

Format:
First Last; Email; Phone Number",How large is your Delegation? Changes can be made up until February. Please note there is a limit of 30 delegates per delegation,Is your school on this list?,"Besides the country you drew in the lottery last year (if you did), how many other countries do you wish to represent in General Assembly. We will assign countries.

Delegations that drew in the lottery are limited to 2 more countries. Delegations that didn't participate in the lottery can ask for up to 2","Do you wish to send delegates to the Specialized Agencies, Regional Bodies, or Crisis Committees?","If you have anything else that we should know, or if you have a question, please tell us here!",Would you like to send a delegate to the CEU?,Would you like to send a delegate to the AU?,Would you like to send a delegate to the ASEAN?,Would you like to send a delegate to the ICJ?,Would you like to send a delegate to Specialized Agency 2?,Would you like to send a delegate to Specialized Agency 3?,Would you like to send a delegate to Specialized Agency 4?,Would you like to send a delegate to the HCC?,Would you like to send a delegate to the UNSC?,Would you like to send a delegate to the JCC Side A?,Would you like to send a delegate to Ad-Hoc?,Would you like to send a delegate to the Wisconsin Crisis?,Would you like to send a delegate to the JCC Side B?
4/26/26 14:23,wvance@wisc.edu,Madison Country Day,232 W Main St,Warner Vance,wvance@wisc.edu,3123075717,,30,Yes,2 Countries,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/26/26 14:54,wvance@wisc.edu,Edgewood,kjldas;f,asdf,wvance@wisc.edu,asdf,,23,Yes,2 Countries,Yes,AKA,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes
4/26/26 15:00,advisor@mcfarland.edu,Mcfarland,5101 Farwell St,Jane Doe,jane@mcfarland.edu,6085550101,,25,Yes,2 Countries,Yes,N/A,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
4/26/26 15:05,advisor@badger.edu,Badger High School,220 South St,John Smith,john@badger.edu,2625550102,,28,Yes,2 Countries,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
4/26/26 15:10,advisor@nicolet.edu,Nicolet,6701 Jean Nicolet Rd,Anne Lee,anne@nicolet.edu,4145550103,,15,Yes,1 Country,Yes,N/A,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes
4/26/26 15:15,advisor@dsha.edu,Divine Savior Holy Angels,4257 N 100th St,Mary Brown,mary@dsha.edu,4145550104,,20,Yes,2 Countries,Yes,N/A,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No
4/26/26 15:20,advisor@mwest.edu,Madison West,30 Ash St,Tom Lee,tom@mwest.edu,6085550105,,27,Yes,2 Countries,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4/26/26 15:25,advisor@waterford.edu,Waterford Union,100 Field Dr,Kate Park,kate@waterford.edu,2625550106,,7,Yes,1 Country,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No
4/26/26 15:30,advisor@wbeast.edu,West Bend East and West,1305 E Decorah Rd,Sara Ng,sara@wbeast.edu,2625550107,,14,Yes,1 Country,Yes,N/A,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes
4/26/26 15:35,advisor@monona.edu,Monona Grove,4400 Monona Dr,Mike Tan,mike@monona.edu,6085550108,,22,Yes,2 Countries,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
4/26/26 15:40,advisor@sprairie.edu,Sun Prairie East,888 Grove St,Pat Han,pat@sprairie.edu,6085550110,,30,Yes,2 Countries,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes
4/26/26 15:45,advisor@oregon.edu,Oregon,456 N Perry Pkwy,Sam Kim,sam@oregon.edu,6085550111,,10,Yes,1 Country,Yes,N/A,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No
4/26/26 15:50,advisor@lakemills.edu,Lake Mills,615 Catlin Dr,Joy Park,joy@lakemills.edu,9205550112,,8,Yes,1 Country,Yes,N/A,No,No,No,Yes,No,No,No,No,No,No,No,No,No
4/26/26 15:55,advisor@waukn.edu,Wakeshua North,2222 Michigan Ave,Eva Cho,eva@waukn.edu,2625550113,,12,Yes,1 Country,Yes,N/A,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No
4/26/26 16:00,advisor@middleton.edu,Middleton,2429 Clayton Rd,Ben Lee,ben@middleton.edu,6085550114,,24,Yes,2 Countries,Yes,N/A,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
4/26/26 16:05,advisor@reedsburg.edu,Reedsburg,1100 S Albert Ave,Amy Roy,amy@reedsburg.edu,6085550115,,16,Yes,2 Countries,Yes,N/A,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
4/26/26 16:10,advisor@sussex.edu,Sussex Hamilton,W220 N6151,Roy Tan,roy@sussex.edu,2625550116,,9,No,2 Countries,Yes,N/A,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
4/26/26 16:15,advisor@bcentral.edu,Brookfield Central,16900 Gebhardt Rd,Tim Park,tim@bcentral.edu,2625550117,,14,No,2 Countries,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No
4/26/26 16:20,advisor@verona.edu,Verona Area,300 Richard St,Dan Lee,dan@verona.edu,6085550118,,6,No,1 Country,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No
